Beleidsdomein;Thema;Subthema;Verstrekker;KBO-nr;Vestiging;Naam subsidieontvanger;Postcode;Gemeente;Land;Jaar;Toegekend (EUR);Betaald (EUR)
Werk en Sociale Economie;Duurzame arbeidsmarkt (sociale economie);Digibanken;Departement Werk en Sociale Economie;0207528134;;STAD DAMME;8340;DAMME;België;2022;15,000;14,991
Werk en Sociale Economie;Duurzame arbeidsmarkt (sociale economie);Digibanken;Departement Werk en Sociale Economie;0207528134;;STAD DAMME;8340;DAMME;België;2025;-9;0
Cultuur, Jeugd, Sport en Media;Jeugdorganisaties (bovenlokaal jeugdwerk);Jeugdwerk: Werkingssubsidie voor bovenlokaal geprofessionaliseerd jeugdwerk voor jeugd met een handicap (Decreet Bovenlokaal Jeugdbeleid 2017);Departement Cultuur, Jeugd en Media;0413726972;;ORANJE;8340;DAMME;België;2024;293,534;293,534
Werk, Economie, Wetenschap, Innovatie, Landbouw en Sociale Economie;Competenties;Vlaams opleidingsverlof (VOV);Departement Werk, Economie, Wetenschap, Innovatie en Sociale Economie;0413726972;;ORANJE;8340;DAMME;België;2025;5,696;5,696
Werk, Economie, Wetenschap, Innovatie, Landbouw en Sociale Economie;Competenties;Vlaams opleidingsverlof (VOV);Departement Werk, Economie, Wetenschap, Innovatie en Sociale Economie;0425749628;;HELEBLITZ SERVICES;8340;DAMME;België;2025;1,874;1,874
Werk, Economie, Wetenschap, Innovatie, Landbouw en Sociale Economie;Competenties;Vlaams opleidingsverlof (VOV);Departement Werk, Economie, Wetenschap, Innovatie en Sociale Economie;0802672525;;WOONZORGVERENIGING DE STEK;8340;DAMME;België;2025;68;68
Werk en Sociale Economie;Competenties;Vlaams opleidingsverlof (VOV);Departement Werk en Sociale Economie;0413726972;;ORANJE;8340;DAMME;België;2023;4,580;4,580
Werk en Sociale Economie;Competenties;Vlaams opleidingsverlof (VOV);Departement Werk en Sociale Economie;0526813928;;DLC DAK- EN GEVELWERKEN;8340;DAMME;België;2022;596;596
Werk en Sociale Economie;Competenties;Vlaams opleidingsverlof (VOV);Departement Werk en Sociale Economie;0425749628;;HELEBLITZ SERVICES;8340;DAMME;België;2023;959;959
Werk en Sociale Economie;Competenties;Vlaams opleidingsverlof (VOV);Departement Werk en Sociale Economie;0436305604;;GUIDO GEERNAERT;8340;DAMME;België;2024;547;547
Werk en Sociale Economie;Competenties;Vlaams opleidingsverlof (VOV);Departement Werk en Sociale Economie;0802672525;;WOONZORGVERENIGING DE STEK;8340;DAMME;België;2024;7,706;7,706
Werk en Sociale Economie;Competenties;Vlaams opleidingsverlof (VOV);Departement Werk en Sociale Economie;0413726972;;ORANJE;8340;DAMME;België;2022;7,455;7,455
Werk en Sociale Economie;Competenties;Vlaams opleidingsverlof (VOV);Departement Werk en Sociale Economie;0413726972;;ORANJE;8340;DAMME;België;2024;3,647;3,647
Werk en Sociale Economie;Competenties;Vlaams opleidingsverlof (VOV);Departement Werk en Sociale Economie;0436696275;;GALERIJEN J.M. DE JONCKHEERE;8340;DAMME;België;2022;1,915;1,915
Welzijn, Volksgezondheid en Gezin;Zorginfrastructuur - klassieke financiering;Subsidie aan instellingen in het beleidsdomein Welzijn, Volksgezondheid en Gezin voor de tussenkomst in de energiekost in 2023;Vlaams Infrastructuurfonds voor Persoonsgebonden Aangelegenheden;0695452584;;FV 'T MINITJE;8340;DAMME;België;2023;2,880;2,880
Welzijn, Volksgezondheid en Gezin;Zorginfrastructuur - klassieke financiering;Subsidie aan instellingen in het beleidsdomein Welzijn, Volksgezondheid en Gezin voor de tussenkomst in de energiekost in 2023;Vlaams Infrastructuurfonds voor Persoonsgebonden Aangelegenheden;0832009382;;WOON- EN ZORGCENTRUM DE LELIE;8340;DAMME;België;2023;9,100;9,100
Welzijn, Volksgezondheid en Gezin;Zorginfrastructuur - klassieke financiering;Subsidie aan instellingen in het beleidsdomein Welzijn, Volksgezondheid en Gezin voor de tussenkomst in de energiekost in 2023;Vlaams Infrastructuurfonds voor Persoonsgebonden Aangelegenheden;0802672525;;WOONZORGVERENIGING DE STEK;8340;DAMME;België;2023;25,844;25,844
Welzijn, Volksgezondheid en Gezin;Welzijnswerk - welzijnswerk;Subsidies aan begeleiders van arbeidsmatige activiteiten;Departement Zorg;0413726972;;ORANJE;8340;DAMME;België;2023;8,377;8,377
Welzijn, Volksgezondheid en Gezin;Welzijnswerk - welzijnswerk;Subsidies aan begeleiders van arbeidsmatige activiteiten;Departement Zorg;0413726972;;ORANJE;8340;DAMME;België;2024;5,379;5,379
Welzijn, Volksgezondheid en Gezin;Welzijnswerk - welzijnswerk;Subsidies aan begeleiders van arbeidsmatige activiteiten;Departement Zorg;0413726972;;ORANJE;8340;DAMME;België;2022;2,202;2,202
Welzijn, Volksgezondheid en Gezin;Welzijnswerk - welzijnswerk;Subsidies aan begeleiders van arbeidsmatige activiteiten;Departement Zorg;0413726972;;ORANJE;8340;DAMME;België;2025;9,461;9,461
Kanselarij, Bestuur, Buitenlandse Zaken en Justitie;Investeringsfonds lokale besturen;Vlaams Plattelandsfonds;Agentschap Binnenlands Bestuur;0207528134;;STAD DAMME;8340;DAMME;België;2023;202,430;202,430
Kanselarij, Bestuur, Buitenlandse Zaken en Justitie;Investeringsfonds lokale besturen;Vlaams Plattelandsfonds;Agentschap Binnenlands Bestuur;0207528134;;STAD DAMME;8340;DAMME;België;2024;202,430;202,430
Kanselarij, Bestuur, Buitenlandse Zaken en Justitie;Investeringsfonds lokale besturen;Vlaams Plattelandsfonds;Agentschap Binnenlands Bestuur;0207528134;;STAD DAMME;8340;DAMME;België;2025;202,430;202,430
Kanselarij, Bestuur, Buitenlandse Zaken en Justitie;Investeringsfonds lokale besturen;Vlaams Plattelandsfonds;Agentschap Binnenlands Bestuur;0207528134;;STAD DAMME;8340;DAMME;België;2022;202,430;202,430
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Vlaams Beschermingsmechanisme 11;Fonds voor Innoveren en Ondernemen;0543605123;;DE VITRINE;8340;DAMME;België;2022;2,068;2,068
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Vlaams Beschermingsmechanisme 11;Fonds voor Innoveren en Ondernemen;0465958009;;BELLEST;8340;DAMME;België;2022;11,722;11,722
